carrier_name,percent_delayed,minutes_delayed
Air Wisconsin Airlines Corp,23.02,2212284.0
Alaska Airlines Network,21.22,5133980.0
Allegiant Air,21.8,4665174.0
American Airlines Network,24.66,41103902.0
CommuteAir LLC dba CommuteAir,16.65,2308664.0
Delta Air Lines Network,17.84,26422064.0
Endeavor Air Inc.,16.51,5394586.0
Envoy Air,20.36,7481446.0
Frontier Airlines,27.72,9227170.0
GoJet Airlines LLC d/b/a United Express,21.03,2232978.0
Hawaiian Airlines Network,14.45,1107298.0
Horizon Air,16.29,1371018.0
JetBlue Airways,24.26,8866318.0
Mesa Airlines Inc.,17.98,2758266.0
PSA Airlines Inc.,23.38,9705684.0
Piedmont Airlines,16.88,3377332.0
Republic Airline,15.28,6443340.0
SkyWest Airlines Inc.,19.3,23856424.0
Southwest Airlines,19.35,29775964.0
Spirit Airlines,21.81,7847264.0
United Air Lines Network,19.35,21130388.0
